delegator,voting_power
somm18lz45r3jznse0rxrfn79mxeepwt8kt0y7yzhjy,5000000.000000000000000000
somm1yfawp9m34kn7vppkkx78ntd3p5lg5cdk8nkyeg,50000.000000000000000000
somm13vyfz40lfclsdk9z2gpurfnvsamufkus53dz8x,45000000.000000000000000000
somm1ma0rake729kvtqfgp4lp7apr5cgzsq2jjnl7k2,4000000.000000000000000000
somm1nt4glhsmj8c5m5yzg6dlpawmuggqea0ufvel8c,39000000.000000000000000000
somm1yhppklazvehhap0je5lerlpuwzq9jhzvuzlqek,38000000.000000000000000000
somm19ng9gamfwrjgswjx0k0vmk2z8kha453y97zqvc,38000000.000000000000000000
somm1l2scvs2wve6lfz2ujgvrlkrsnw6g68dx6y0ykw,3750000000.000000000000000000
somm132sr8zv7sjz6gkm00nktrj4j68zegf66f2zh5n,35000000.000000000000000000
somm15a6vm7skdk5rpxp359p4m59kj79fae6037v9r4,30000.000000000000000000
somm12kct4cfuwh7vevec7c4y9slmee949qrje54psa,25000000.000000000000000000
somm108pvkgt4yvrscqju02st3ac2nfs0r77xk30dpq,2000000.000000000000000000
somm1aevdt3mdcruyq7zq4c2zg89y6mwmeufyrm3rag,2000000.000000000000000000
somm1tmsxq5lp7vz953jva4c2ekxe3as26cm26fvnwx,20000.000000000000000000
somm1ce9v9cvmsquuhzw9jtvqnz4t7amsdz72cc0n8p,20000.000000000000000000
somm14ux7ufwa7hjxl30sd7wfv7ka80nx3c7x8lq3rv,180000.000000000000000000
somm184p2vzmxt9qgpn83pqpdxjnf2vsne5skrk5kuv,120001.000000000000000000
somm17zefp2q46ats0327lkag4f8ve5zeljecupcshj,12000000.000000000000000000
somm1l0uyf6ljnmdaw4ngqnpfgtrg4t9ym0g4gtpdvn,112700000.000000000000000000
somm17070wwjhlurczgm9658k7p9a8ds08shj024mdj,11000000.000000000000000000
somm1nxpje6alrnlw8v2v5c5dlftms8vfe7u9mdkktl,1100000.000000000000000000
somm12n4pgw42qy5lkw4at43eqmjcwr52meq9fcm52t,100000000000.000000000000000000
somm10pqg8v7k2qllru3qtqx8vly6cv3rtx4alp9w2v,100000000000.000000000000000000
somm1crvz5u9vzmvdlrqv805uax37e35g2gwvsck44p,10000000.000000000000000000
