delegator_acc,validator_acc,bonded_token
juno1yg52euph8p9xxqj648knh0rkndc24jenkpf7v2,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1q3dpka799kz96mnm56jygcqvqex8zd22fcdxnj,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1y8yvvm93j6tegltc5kazh9xnv58nt2680nq8rm,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1ggay7u8ymxnk87nw4uf22frkf863f2k4gjnkfh,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno19rkk6aktvz50305y9duqw7t52wprpesczy2dty,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno12qlpeyvy9jgt4guzxprl9sxfvn9a3ejtdjh0n0,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1pp6p2cxll8k4ymrjx5r3laarphv5sndscunu5d,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1rlu09uxyqz4cf4ce8j7qgjaruyp357yuq42tu6,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno19q2h8237906pk5w3e2l7lauej3j4uzuhyzrh5v,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1pehvghr7mzgmlm96yasv08n42plp0h3www4p4j,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno19mfm9aa5shp59agt675nwrl9lf8n3ldst67gq5,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1gkw55znfsr8umeppg33av95g6s82kl067rp9d9,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1zctm0u97sn668avqsz5nde9wqqdn2smd7fe98u,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1zjn5h6n5zy7esuw2v8mrqy8wvyjmsjzcdm5xx4,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1qyar8pxn0q5yela70mv4r77nwuptw6elrzl3lq,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno12z8hfh9a7skukdue9dk6gzv7ltjlvpxct2du5a,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno1zwk3vye3lcxe76vpdz8qyd2gf6n2vcx6ptugkh,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno190g5j8aszqhvtg7cprmev8xcxs6csra7xnk3n3,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno19n5f66m9utezge4khzct2m5kvvd8wj4llypsar,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno1gyvwvsqq9fpjcg0ljay0zqhhtmtvtk25ypkwlm,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno19kymcxye8slavj2d3dnja0efm49d6ftpr4e5wu,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno1yyjcck3rw7qfhqf7ayvqdvfnvj3n34jxl06ydh,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno1zh3qml225yhsfvxe3zvn9y3zpeqmrh3k8dq3xn,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno1f76mkjzvasnyavrt84n07qtdey8lfp54g0rtnt,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno1z4mmky8qer477jaxqztvphfdtjssx2dgvaued3,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno197xxl00dcd2j4l005g0fweeuy064eja0n5n5wt,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno1xze63acalxpkj03lscc5ns66uhh9pedm8cqnxg,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno1pf64jrkcate4mz8v2c7mvlyjgkhjjmsuy3fmnw,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno194w0ttx0mksvn465me9ntsrc7ckdvpk4e2xzsp,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno188vhaf6lhuvdq66ngh2g9fwewacvywf9q2mved,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno1fcwcp4maxm8asuv94uvwyu45c4etj8u25wandf,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno1f94tsjpe2xf5gqvqrjxpznx0v26gfwgt7d0ary,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno189uzgwypdzhuckg5tt9tza35l2mey35a403q6t,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno122r50qlf6q383q0m5mr7areqyr2mxvsdupaze7,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno1rp95zrjhs9pzt4qxyhjc6st85u55ezh2zsz7k6,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno1z203t7p0wc7xgw6crmpya8hygq38dttac9qrgf,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
juno1pzy726yr7s8u85u4pef5584a9dxscyss3zk0yq,junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,ujuno
